,weights1,weights2,MAP
377,"[(85, 15)]","[(100, 0)]",[0.07399615534512133]
376,"[(85, 15)]","[(95, 5)]",[0.07399615534512133]
375,"[(85, 15)]","[(90, 10)]",[0.07399615534512133]
374,"[(85, 15)]","[(85, 15)]",[0.07399615534512133]
359,"[(85, 15)]","[(10, 90)]",[0.07399615534512133]
372,"[(85, 15)]","[(75, 25)]",[0.07399615534512133]
371,"[(85, 15)]","[(70, 30)]",[0.07399615534512133]
370,"[(85, 15)]","[(65, 35)]",[0.07399615534512133]
373,"[(85, 15)]","[(80, 20)]",[0.07399615534512133]
368,"[(85, 15)]","[(55, 45)]",[0.07399615534512133]
366,"[(85, 15)]","[(45, 55)]",[0.07399615534512133]
365,"[(85, 15)]","[(40, 60)]",[0.07399615534512133]
364,"[(85, 15)]","[(35, 65)]",[0.07399615534512133]
363,"[(85, 15)]","[(30, 70)]",[0.07399615534512133]
362,"[(85, 15)]","[(25, 75)]",[0.07399615534512133]
361,"[(85, 15)]","[(20, 80)]",[0.07399615534512133]
360,"[(85, 15)]","[(15, 85)]",[0.07399615534512133]
367,"[(85, 15)]","[(50, 50)]",[0.07399615534512133]
319,"[(75, 25)]","[(20, 80)]",[0.07393839641769402]
323,"[(75, 25)]","[(40, 60)]",[0.07393839641769402]
322,"[(75, 25)]","[(35, 65)]",[0.07393839641769402]
321,"[(75, 25)]","[(30, 70)]",[0.07393839641769402]
320,"[(75, 25)]","[(25, 75)]",[0.07393839641769402]
315,"[(75, 25)]","[(0, 100)]",[0.07393839641769402]
318,"[(75, 25)]","[(15, 85)]",[0.07393839641769402]
317,"[(75, 25)]","[(10, 90)]",[0.07393839641769402]
316,"[(75, 25)]","[(5, 95)]",[0.07393839641769402]
325,"[(75, 25)]","[(50, 50)]",[0.07393839641769402]
324,"[(75, 25)]","[(45, 55)]",[0.07393839641769402]
331,"[(75, 25)]","[(80, 20)]",[0.07393839641769402]
326,"[(75, 25)]","[(55, 45)]",[0.07393839641769402]
327,"[(75, 25)]","[(60, 40)]",[0.07393839641769402]
334,"[(75, 25)]","[(95, 5)]",[0.07393839641769402]
333,"[(75, 25)]","[(90, 10)]",[0.07393839641769402]
332,"[(75, 25)]","[(85, 15)]",[0.07393839641769402]
335,"[(75, 25)]","[(100, 0)]",[0.07393839641769402]
330,"[(75, 25)]","[(75, 25)]",[0.07393839641769402]
329,"[(75, 25)]","[(70, 30)]",[0.07393839641769402]
328,"[(75, 25)]","[(65, 35)]",[0.07393839641769402]
283,"[(65, 35)]","[(50, 50)]",[0.0737086811266188]
291,"[(65, 35)]","[(90, 10)]",[0.0737086811266188]
290,"[(65, 35)]","[(85, 15)]",[0.0737086811266188]
289,"[(65, 35)]","[(80, 20)]",[0.0737086811266188]
288,"[(65, 35)]","[(75, 25)]",[0.0737086811266188]
287,"[(65, 35)]","[(70, 30)]",[0.0737086811266188]
286,"[(65, 35)]","[(65, 35)]",[0.0737086811266188]
285,"[(65, 35)]","[(60, 40)]",[0.0737086811266188]
284,"[(65, 35)]","[(55, 45)]",[0.0737086811266188]
278,"[(65, 35)]","[(25, 75)]",[0.0737086811266188]
282,"[(65, 35)]","[(45, 55)]",[0.0737086811266188]
281,"[(65, 35)]","[(40, 60)]",[0.0737086811266188]
280,"[(65, 35)]","[(35, 65)]",[0.0737086811266188]
279,"[(65, 35)]","[(30, 70)]",[0.0737086811266188]
293,"[(65, 35)]","[(100, 0)]",[0.0737086811266188]
277,"[(65, 35)]","[(20, 80)]",[0.0737086811266188]
276,"[(65, 35)]","[(15, 85)]",[0.0737086811266188]
275,"[(65, 35)]","[(10, 90)]",[0.0737086811266188]
274,"[(65, 35)]","[(5, 95)]",[0.0737086811266188]
