,hparams,epochs,auc,precision
108,"{'no_components': 49, 'learning_schedule': 'adadelta', 'learning_rate': 0.23565120585998345, 'loss': 'warp-kos', 'item_alpha': 5.5619961779250124e-05, 'user_alpha': 6.3037178444940805e-06, 'k': 10}",109.0,0.8351002335548401,0.015202403999865055
94,"{'no_components': 35, 'learning_schedule': 'adagrad', 'learning_rate': 0.05083671761392659, 'loss': 'warp-kos', 'item_alpha': 1.5774146748345947e-06, 'user_alpha': 8.915038317292981e-06, 'k': 10}",164.0,0.8200052976608276,0.014760473743081093
123,"{'no_components': 85, 'learning_schedule': 'adadelta', 'learning_rate': 0.0998220434997644, 'loss': 'warp-kos', 'item_alpha': 3.23487719635582e-05, 'user_alpha': 6.6007239421943636e-06, 'k': 10}",54.0,0.8404440879821777,0.014601379632949829
0,"{'no_components': 134, 'learning_schedule': 'adadelta', 'learning_rate': 0.3717141064285916, 'loss': 'warp-kos', 'item_alpha': 1.8395630374178225e-06, 'user_alpha': 1.083841338805441e-05, 'k': 10}",12.0,0.8591602444648743,0.014512993395328522
11,"{'no_components': 87, 'learning_schedule': 'adadelta', 'learning_rate': 0.0888822759478395, 'loss': 'warp-kos', 'item_alpha': 1.5307904359515957e-06, 'user_alpha': 2.7464443037081034e-06, 'k': 10}",74.0,0.8335739374160767,0.014141771011054516
127,"{'no_components': 65, 'learning_schedule': 'adadelta', 'learning_rate': 0.19616260419488152, 'loss': 'warp-kos', 'item_alpha': 2.3557959938179646e-06, 'user_alpha': 2.407584574776942e-05, 'k': 10}",88.0,0.8336213231086731,0.014141771011054516
109,"{'no_components': 82, 'learning_schedule': 'adadelta', 'learning_rate': 0.22831355489058627, 'loss': 'warp-kos', 'item_alpha': 6.72084832051701e-05, 'user_alpha': 1.8244644344159737e-06, 'k': 10}",62.0,0.8422551155090332,0.014106417074799538
26,"{'no_components': 138, 'learning_schedule': 'adadelta', 'learning_rate': 0.0375313686027738, 'loss': 'warp-kos', 'item_alpha': 1.7514705951700216e-05, 'user_alpha': 4.435219055925471e-06, 'k': 10}",29.0,0.8456330299377441,0.013876613229513168
122,"{'no_components': 115, 'learning_schedule': 'adadelta', 'learning_rate': 0.28271557682959697, 'loss': 'warp-kos', 'item_alpha': 1.3822033369901905e-06, 'user_alpha': 1.2726040385249262e-05, 'k': 10}",31.0,0.8470026850700378,0.01384125929325819
74,"{'no_components': 124, 'learning_schedule': 'adadelta', 'learning_rate': 0.03203745824266501, 'loss': 'warp-kos', 'item_alpha': 5.573533940497534e-05, 'user_alpha': 1.2421662023954764e-05, 'k': 10}",44.0,0.8413047194480896,0.01382358092814684
