,hparams,epochs,auc,precision
112,"{'no_components': 97, 'learning_schedule': 'adagrad', 'learning_rate': 0.10379498969881079, 'loss': 'warp-kos', 'item_alpha': 3.2460249647797854e-05, 'user_alpha': 5.260621279512029e-05, 'k': 10}",149.0,0.731698751449585,0.006487537641078234
85,"{'no_components': 240, 'learning_schedule': 'adagrad', 'learning_rate': 0.047917395503097565, 'loss': 'warp-kos', 'item_alpha': 9.253701383337714e-07, 'user_alpha': 8.910657494348355e-06, 'k': 10}",146.0,0.7953747510910034,0.006434506271034479
40,"{'no_components': 244, 'learning_schedule': 'adagrad', 'learning_rate': 0.045805125583590046, 'loss': 'warp-kos', 'item_alpha': 2.6815172968718067e-06, 'user_alpha': 1.1410020976271751e-05, 'k': 10}",169.0,0.7946886420249939,0.006257734261453152
21,"{'no_components': 191, 'learning_schedule': 'adagrad', 'learning_rate': 0.09050595610474195, 'loss': 'warp-kos', 'item_alpha': 3.39698597190757e-07, 'user_alpha': 6.267519560143884e-07, 'k': 10}",173.0,0.7404815554618835,0.005992576014250517
77,"{'no_components': 187, 'learning_schedule': 'adagrad', 'learning_rate': 0.08488066469157103, 'loss': 'warp-kos', 'item_alpha': 1.416892916266557e-05, 'user_alpha': 3.1518615134999526e-06, 'k': 10}",177.0,0.7438300848007202,0.005974898114800453
12,"{'no_components': 124, 'learning_schedule': 'adagrad', 'learning_rate': 0.10945624623740693, 'loss': 'warp-kos', 'item_alpha': 2.987483753665804e-06, 'user_alpha': 5.847054053081426e-06, 'k': 10}",186.0,0.730165421962738,0.005815803539007902
9,"{'no_components': 238, 'learning_schedule': 'adagrad', 'learning_rate': 0.10306281333092755, 'loss': 'warp-kos', 'item_alpha': 1.9486106523309917e-05, 'user_alpha': 1.6687246403103588e-06, 'k': 10}",124.0,0.7337283492088318,0.005798126570880413
92,"{'no_components': 204, 'learning_schedule': 'adagrad', 'learning_rate': 0.07013782270951109, 'loss': 'warp-kos', 'item_alpha': 3.0230822987603826e-07, 'user_alpha': 9.445961362663156e-06, 'k': 10}",122.0,0.7614610195159912,0.005550645291805267
45,"{'no_components': 214, 'learning_schedule': 'adagrad', 'learning_rate': 0.10516860772673756, 'loss': 'warp-kos', 'item_alpha': 1.2868689016951019e-05, 'user_alpha': 4.558360234435596e-06, 'k': 10}",109.0,0.7320965528488159,0.005550645291805267
88,"{'no_components': 41, 'learning_schedule': 'adagrad', 'learning_rate': 0.001429137828269561, 'loss': 'warp-kos', 'item_alpha': 1.5295509500214346e-05, 'user_alpha': 1.735250499582513e-05, 'k': 10}",106.0,0.8075961470603943,0.00493194255977869
57,"{'no_components': 85, 'learning_schedule': 'adagrad', 'learning_rate': 0.10632577350919191, 'loss': 'warp-kos', 'item_alpha': 5.147200185776917e-06, 'user_alpha': 1.5230772504233095e-06, 'k': 10}",54.0,0.7301559448242188,0.0046491073444485664
132,"{'no_components': 233, 'learning_schedule': 'adagrad', 'learning_rate': 0.10559617653014793, 'loss': 'warp-kos', 'item_alpha': 2.5341858239015232e-05, 'user_alpha': 7.972314748952585e-06, 'k': 10}",40.0,0.7287302017211914,0.003429379779845476
43,"{'no_components': 239, 'learning_schedule': 'adagrad', 'learning_rate': 0.12437257651194347, 'loss': 'warp-kos', 'item_alpha': 1.2707090486960453e-06, 'user_alpha': 8.284266182894578e-07, 'k': 10}",135.0,0.7165490388870239,0.002846031216904521
91,"{'no_components': 158, 'learning_schedule': 'adagrad', 'learning_rate': 0.1252600193236309, 'loss': 'warp-kos', 'item_alpha': 7.056748681798591e-06, 'user_alpha': 3.401571847208326e-06, 'k': 10}",145.0,0.7066576480865479,0.0025278418324887753
10,"{'no_components': 135, 'learning_schedule': 'adagrad', 'learning_rate': 0.11373028473305742, 'loss': 'warp-kos', 'item_alpha': 9.318927649521184e-07, 'user_alpha': 3.972109474419681e-06, 'k': 10}",49.0,0.7167679667472839,0.0024748099967837334
54,"{'no_components': 233, 'learning_schedule': 'adagrad', 'learning_rate': 0.11586207323818357, 'loss': 'warp-kos', 'item_alpha': 2.899694793338464e-05, 'user_alpha': 1.4914485581522032e-05, 'k': 10}",49.0,0.7189468741416931,0.0024571327958256006
71,"{'no_components': 173, 'learning_schedule': 'adagrad', 'learning_rate': 0.11742586689348172, 'loss': 'warp-kos', 'item_alpha': 8.746221333783551e-07, 'user_alpha': 4.6458436952459016e-06, 'k': 10}",66.0,0.7228783965110779,0.0023333923891186714
38,"{'no_components': 239, 'learning_schedule': 'adagrad', 'learning_rate': 0.11546059679385888, 'loss': 'warp-kos', 'item_alpha': 1.452265623816744e-06, 'user_alpha': 1.3889478012570207e-06, 'k': 10}",39.0,0.6881475448608398,0.0012550823157653213
20,"{'no_components': 55, 'learning_schedule': 'adagrad', 'learning_rate': 0.14528356837299125, 'loss': 'warp-kos', 'item_alpha': 1.4686873338916529e-06, 'user_alpha': 4.117644578357896e-06, 'k': 10}",199.0,0.6803098917007446,0.0010429556714370847
62,"{'no_components': 16, 'learning_schedule': 'adagrad', 'learning_rate': 0.1439301283219983, 'loss': 'warp-kos', 'item_alpha': 1.1522874557712906e-05, 'user_alpha': 3.418635795408311e-06, 'k': 10}",184.0,0.641268789768219,0.0010076011531054974
1,"{'no_components': 136, 'learning_schedule': 'adagrad', 'learning_rate': 0.1476849070309054, 'loss': 'warp-kos', 'item_alpha': 1.6144282361861635e-06, 'user_alpha': 2.7177583954863278e-06, 'k': 10}",183.0,0.6691708564758301,0.0008661834872327745
79,"{'no_components': 131, 'learning_schedule': 'adagrad', 'learning_rate': 0.13874669783884094, 'loss': 'warp-kos', 'item_alpha': 9.545518917154187e-06, 'user_alpha': 5.156454211289133e-06, 'k': 10}",116.0,0.6785175204277039,0.0008485062862746418
73,"{'no_components': 145, 'learning_schedule': 'adagrad', 'learning_rate': 0.11040823531428037, 'loss': 'warp-kos', 'item_alpha': 8.58069292571522e-06, 'user_alpha': 6.226844559209359e-08, 'k': 10}",26.0,0.6284689903259277,0.00045960754505358636
48,"{'no_components': 82, 'learning_schedule': 'adagrad', 'learning_rate': 0.1614128301889303, 'loss': 'warp-kos', 'item_alpha': 1.7315785889156986e-06, 'user_alpha': 4.004854361310165e-05, 'k': 10}",64.0,0.598288357257843,0.0004065759130753577
124,"{'no_components': 59, 'learning_schedule': 'adagrad', 'learning_rate': 0.20980256523170715, 'loss': 'warp-kos', 'item_alpha': 1.324821603668058e-05, 'user_alpha': 2.9345702780799406e-06, 'k': 10}",11.0,0.519709050655365,0.00026515821809880435
6,"{'no_components': 113, 'learning_schedule': 'adagrad', 'learning_rate': 0.17390926321869435, 'loss': 'warp-kos', 'item_alpha': 1.366374759424018e-05, 'user_alpha': 3.3372051553226215e-06, 'k': 10}",47.0,0.5453106164932251,0.00021212657156866044
81,"{'no_components': 167, 'learning_schedule': 'adagrad', 'learning_rate': 0.1815877669164759, 'loss': 'warp-kos', 'item_alpha': 1.6152039137174355e-06, 'user_alpha': 2.5636437769167343e-06, 'k': 10}",44.0,0.5370715856552124,0.0001767721405485645
13,"{'no_components': 27, 'learning_schedule': 'adagrad', 'learning_rate': 0.3667686126719647, 'loss': 'warp-kos', 'item_alpha': 1.7184055526293968e-05, 'user_alpha': 7.079145575901073e-06, 'k': 10}",99.0,0.5023807287216187,0.0001237405085703358
89,"{'no_components': 81, 'learning_schedule': 'adagrad', 'learning_rate': 0.2424122451946112, 'loss': 'warp-kos', 'item_alpha': 4.85428802692973e-07, 'user_alpha': 1.6479635164125947e-07, 'k': 10}",161.0,0.5076907277107239,0.0001237405085703358
67,"{'no_components': 115, 'learning_schedule': 'adagrad', 'learning_rate': 0.650679617816464, 'loss': 'warp-kos', 'item_alpha': 1.8164669142538851e-06, 'user_alpha': 1.1475565434431379e-05, 'k': 10}",112.0,0.5042934417724609,0.0001237405085703358
116,"{'no_components': 49, 'learning_schedule': 'adagrad', 'learning_rate': 0.28148976823824606, 'loss': 'warp-kos', 'item_alpha': 2.084541253584418e-06, 'user_alpha': 3.140874011883723e-06, 'k': 10}",139.0,0.5113921761512756,0.00010606328578433022
46,"{'no_components': 99, 'learning_schedule': 'adagrad', 'learning_rate': 0.2496912318003385, 'loss': 'warp-kos', 'item_alpha': 5.340833420282462e-06, 'user_alpha': 4.249994567091269e-07, 'k': 10}",74.0,0.5023481249809265,8.838607027428225e-05
87,"{'no_components': 124, 'learning_schedule': 'adagrad', 'learning_rate': 0.3233445368501926, 'loss': 'warp-kos', 'item_alpha': 3.385871181736696e-06, 'user_alpha': 4.885071062247667e-06, 'k': 10}",17.0,0.5067504048347473,3.535442738211714e-05
