,topK,alpha,MAP
332,[500],[85],[0.06658415101026233]
286,[100],[75],[0.06652273407644432]
306,[150],[80],[0.0664705343244153]
116,[150],[30],[0.06636940985384643]
327,[250],[85],[0.06630270590090706]
354,[650],[90],[0.0662446020250721]
355,[700],[90],[0.0662433578781161]
360,[950],[90],[0.06623416775328753]
356,[750],[90],[0.066223846246674]
359,[900],[90],[0.06618753508218836]
358,[850],[90],[0.06615715905123465]
357,[800],[90],[0.06613156132957768]
353,[600],[90],[0.0661060419673274]
113,[950],[25],[0.06605835168084734]
349,[400],[90],[0.06605399765363829]
350,[450],[90],[0.06601434573397243]
112,[900],[25],[0.06598061516883116]
347,[300],[90],[0.0659710182988339]
326,[200],[85],[0.06593872768173785]
351,[500],[90],[0.0659274715408656]
352,[550],[90],[0.06590685767232737]
111,[850],[25],[0.06589676447969375]
348,[350],[90],[0.06577620876914528]
110,[800],[25],[0.06575834867006464]
346,[250],[90],[0.06568792805948415]
109,[750],[25],[0.06567149666255175]
247,[50],[65],[0.06564272400702394]
108,[700],[25],[0.06556556173166861]
325,[150],[85],[0.06550343661253451]
107,[650],[25],[0.06545771488693548]
305,[100],[80],[0.06542660884694453]
373,[650],[95],[0.06542556804473669]
375,[750],[95],[0.06540451010244534]
106,[600],[25],[0.06538998162821255]
374,[700],[95],[0.06538611354067025]
379,[950],[95],[0.06537836831876243]
376,[800],[95],[0.06536435080910108]
377,[850],[95],[0.06536061594646829]
378,[900],[95],[0.06534486612327385]
368,[400],[95],[0.06530846226364624]
369,[450],[95],[0.06529688327645124]
372,[600],[95],[0.06527570285409286]
366,[300],[95],[0.06527195362788848]
371,[550],[95],[0.06522240490124255]
370,[500],[95],[0.0651992012195184]
345,[200],[90],[0.06517041186216338]
105,[550],[25],[0.06515668131773225]
266,[50],[70],[0.06506685830566052]
367,[350],[95],[0.06506166041862436]
365,[250],[95],[0.0649036349934994]
114,[50],[30],[0.06484295422055839]
104,[500],[25],[0.06482023954050284]
344,[150],[90],[0.06471739753751816]
324,[100],[85],[0.06467880434668827]
364,[200],[95],[0.06455504759174571]
363,[150],[95],[0.06421115343131464]
103,[450],[25],[0.06410495583635989]
285,[50],[75],[0.06387486364071411]
343,[100],[90],[0.0637192995360498]
102,[400],[25],[0.0636036306131668]
101,[350],[25],[0.06343446704557973]
99,[250],[25],[0.06287830844271135]
98,[200],[25],[0.0628510295151129]
362,[100],[95],[0.06282153071980445]
100,[300],[25],[0.06274099055553967]
304,[50],[80],[0.06268062525228109]
97,[150],[25],[0.062301449984729994]
96,[100],[25],[0.0621493166580952]
323,[50],[85],[0.061776342834713324]
95,[50],[25],[0.06117798055132332]
94,[950],[20],[0.06111354955006822]
93,[900],[20],[0.06099432581025113]
92,[850],[20],[0.06095227887637931]
91,[800],[20],[0.0608312957939052]
342,[50],[90],[0.060823568025407]
90,[750],[20],[0.0606893639155816]
89,[700],[20],[0.06068473344529333]
88,[650],[20],[0.06043835128935644]
87,[600],[20],[0.06031183558738955]
361,[50],[95],[0.060158772637044264]
86,[550],[20],[0.059978546697618845]
85,[500],[20],[0.059867538308313206]
84,[450],[20],[0.059211601652688024]
83,[400],[20],[0.05816367767423966]
82,[350],[20],[0.05806231169524732]
79,[200],[20],[0.057602734415380004]
81,[300],[20],[0.05756294840787698]
80,[250],[20],[0.05751319040733433]
78,[150],[20],[0.05725497932135602]
77,[100],[20],[0.05724931876586572]
76,[50],[20],[0.05635270944614808]
74,[900],[15],[0.05442071796768771]
73,[850],[15],[0.054339076596272615]
75,[950],[15],[0.0543157139131521]
72,[800],[15],[0.05429245210906882]
71,[750],[15],[0.054093860200048645]
70,[700],[15],[0.05392887996699534]
69,[650],[15],[0.05388681875306108]
68,[600],[15],[0.05376815149029506]
67,[550],[15],[0.05351076046403989]
66,[500],[15],[0.05336810720595653]
65,[450],[15],[0.0529258005620097]
64,[400],[15],[0.05160121518376036]
59,[150],[15],[0.05130989973982107]
58,[100],[15],[0.0510728740589132]
60,[200],[15],[0.050756921944299226]
63,[350],[15],[0.05065717417752289]
62,[300],[15],[0.050325596362128175]
57,[50],[15],[0.05020644001418449]
61,[250],[15],[0.050073475569658056]
56,[950],[10],[0.04664215083371287]
55,[900],[10],[0.046629491460979174]
54,[850],[10],[0.04660180709652178]
52,[750],[10],[0.0465821715931935]
53,[800],[10],[0.046565921884306354]
51,[700],[10],[0.04646059648661244]
50,[650],[10],[0.046402127035613104]
49,[600],[10],[0.04638288917495773]
48,[550],[10],[0.046330729117604996]
47,[500],[10],[0.04604358862944935]
46,[450],[10],[0.04582132496999347]
45,[400],[10],[0.044835980456056045]
40,[150],[10],[0.04471617593802911]
41,[200],[10],[0.04460330312373606]
39,[100],[10],[0.044477461758048516]
44,[350],[10],[0.04404517685075058]
42,[250],[10],[0.04389541540629103]
38,[50],[10],[0.043838821709685394]
43,[300],[10],[0.043600010547760644]
35,[850],[5],[0.04067424915153598]
37,[950],[5],[0.04067303325850463]
36,[900],[5],[0.04067204417628875]
34,[800],[5],[0.040659506448530953]
31,[650],[5],[0.04064018109813662]
32,[700],[5],[0.04063559694758289]
30,[600],[5],[0.04062664727339545]
33,[750],[5],[0.040623245111163525]
29,[550],[5],[0.04056899668515488]
28,[500],[5],[0.0405154596178096]
27,[450],[5],[0.04041516815088006]
26,[400],[5],[0.03994395392847684]
22,[200],[5],[0.039691502467661524]
21,[150],[5],[0.03961530578061819]
25,[350],[5],[0.03936739448887795]
20,[100],[5],[0.03932831076537878]
23,[250],[5],[0.039311685460230825]
24,[300],[5],[0.03914957371035271]
19,[50],[5],[0.037620406674575724]
18,[950],[0],[0.03628317859758358]
11,[600],[0],[0.03628317859758358]
7,[400],[0],[0.03628317859758358]
8,[450],[0],[0.03628317859758358]
17,[900],[0],[0.03628317859758358]
10,[550],[0],[0.03628317859758358]
9,[500],[0],[0.03628317859758358]
12,[650],[0],[0.03628317859758358]
13,[700],[0],[0.03628317859758358]
14,[750],[0],[0.03628317859758358]
15,[800],[0],[0.03628317859758358]
16,[850],[0],[0.03628317859758358]
6,[350],[0],[0.03604160147386718]
2,[150],[0],[0.03552895806251316]
5,[300],[0],[0.035475722240460625]
3,[200],[0],[0.03519904483474163]
1,[100],[0],[0.03500488414320935]
4,[250],[0],[0.03493002972635766]
0,[50],[0],[0.03416129449606194]
