,threshold,weights1,weights2,MAP
265,[14],"[(0, 10, 90)]","[[100, 0, 0]]",[0.07237588938900824]
28,[10],"[(20, 70, 10)]","[[100, 0, 0]]",[0.07233485046609008]
200,[13],"[(0, 20, 80)]","[[100, 0, 0]]",[0.0722917579699895]
85,[11],"[(10, 80, 10)]","[[100, 0, 0]]",[0.07228066222233256]
203,[13],"[(0, 50, 50)]","[[100, 0, 0]]",[0.07224535909663679]
337,[15],"[(0, 70, 30)]","[[100, 0, 0]]",[0.0722385924069572]
271,[14],"[(0, 70, 30)]","[[100, 0, 0]]",[0.07218004715749804]
136,[12],"[(0, 40, 60)]","[[100, 0, 0]]",[0.07215378122356517]
135,[12],"[(0, 30, 70)]","[[100, 0, 0]]",[0.07210936510764682]
11,[10],"[(10, 0, 90)]","[[100, 0, 0]]",[0.0720727556763608]
204,[13],"[(0, 60, 40)]","[[100, 0, 0]]",[0.0720676279926722]
199,[13],"[(0, 10, 90)]","[[100, 0, 0]]",[0.07197814494629634]
29,[10],"[(20, 80, 0)]","[[100, 0, 0]]",[0.0719437635109432]
134,[12],"[(0, 20, 80)]","[[100, 0, 0]]",[0.07194089015640166]
86,[11],"[(10, 90, 0)]","[[100, 0, 0]]",[0.07193530654066266]
330,[15],"[(0, 0, 100)]","[[100, 0, 0]]",[0.07189912862892277]
16,[10],"[(10, 50, 40)]","[[100, 0, 0]]",[0.07183111953952125]
137,[12],"[(0, 50, 50)]","[[100, 0, 0]]",[0.07181001594556849]
338,[15],"[(0, 80, 20)]","[[100, 0, 0]]",[0.0717792085899233]
272,[14],"[(0, 80, 20)]","[[100, 0, 0]]",[0.07176482013267646]
205,[13],"[(0, 70, 30)]","[[100, 0, 0]]",[0.07172315408397743]
133,[12],"[(0, 10, 90)]","[[100, 0, 0]]",[0.07166743667658028]
138,[12],"[(0, 60, 40)]","[[100, 0, 0]]",[0.07164945933067163]
339,[15],"[(0, 90, 10)]","[[100, 0, 0]]",[0.07163157598821462]
69,[11],"[(0, 30, 70)]","[[100, 0, 0]]",[0.07161238219254731]
273,[14],"[(0, 90, 10)]","[[100, 0, 0]]",[0.07161014002789763]
70,[11],"[(0, 40, 60)]","[[100, 0, 0]]",[0.07157053838073245]
17,[10],"[(10, 60, 30)]","[[100, 0, 0]]",[0.07155503925196649]
340,[15],"[(0, 100, 0)]","[[100, 0, 0]]",[0.07154516290472468]
274,[14],"[(0, 100, 0)]","[[100, 0, 0]]",[0.07150274226746581]
18,[10],"[(10, 70, 20)]","[[100, 0, 0]]",[0.07144842330407296]
68,[11],"[(0, 20, 80)]","[[100, 0, 0]]",[0.07141664150814739]
206,[13],"[(0, 80, 20)]","[[100, 0, 0]]",[0.0714079892099958]
264,[14],"[(0, 0, 100)]","[[100, 0, 0]]",[0.07131323303485149]
139,[12],"[(0, 70, 30)]","[[100, 0, 0]]",[0.07126432315310174]
207,[13],"[(0, 90, 10)]","[[100, 0, 0]]",[0.07123106227118198]
19,[10],"[(10, 80, 10)]","[[100, 0, 0]]",[0.07118833766066537]
71,[11],"[(0, 50, 50)]","[[100, 0, 0]]",[0.07117671572193772]
208,[13],"[(0, 100, 0)]","[[100, 0, 0]]",[0.07113657168292903]
72,[11],"[(0, 60, 40)]","[[100, 0, 0]]",[0.07106695303842521]
67,[11],"[(0, 10, 90)]","[[100, 0, 0]]",[0.07106305182559196]
140,[12],"[(0, 80, 20)]","[[100, 0, 0]]",[0.07096101323617572]
20,[10],"[(10, 90, 0)]","[[100, 0, 0]]",[0.07081566614035863]
141,[12],"[(0, 90, 10)]","[[100, 0, 0]]",[0.0707573249593932]
198,[13],"[(0, 0, 100)]","[[100, 0, 0]]",[0.07074704760127672]
142,[12],"[(0, 100, 0)]","[[100, 0, 0]]",[0.07061045744055931]
73,[11],"[(0, 70, 30)]","[[100, 0, 0]]",[0.07058166936367759]
132,[12],"[(0, 0, 100)]","[[100, 0, 0]]",[0.07052800480571685]
3,[10],"[(0, 30, 70)]","[[100, 0, 0]]",[0.07040975291739723]
74,[11],"[(0, 80, 20)]","[[100, 0, 0]]",[0.07028936912432479]
4,[10],"[(0, 40, 60)]","[[100, 0, 0]]",[0.07024176020358057]
2,[10],"[(0, 20, 80)]","[[100, 0, 0]]",[0.07022350555166512]
75,[11],"[(0, 90, 10)]","[[100, 0, 0]]",[0.07005732715735367]
76,[11],"[(0, 100, 0)]","[[100, 0, 0]]",[0.0698770985734723]
5,[10],"[(0, 50, 50)]","[[100, 0, 0]]",[0.06983787135343981]
66,[11],"[(0, 0, 100)]","[[100, 0, 0]]",[0.06977523256960537]
1,[10],"[(0, 10, 90)]","[[100, 0, 0]]",[0.06976309265153875]
6,[10],"[(0, 60, 40)]","[[100, 0, 0]]",[0.06971459355123279]
7,[10],"[(0, 70, 30)]","[[100, 0, 0]]",[0.06930851829270969]
8,[10],"[(0, 80, 20)]","[[100, 0, 0]]",[0.06902150835717115]
9,[10],"[(0, 90, 10)]","[[100, 0, 0]]",[0.06882477822868238]
10,[10],"[(0, 100, 0)]","[[100, 0, 0]]",[0.06872354093726993]
0,[10],"[(0, 0, 100)]","[[100, 0, 0]]",[0.06848136455198803]
