,threshold,weights1,weights2,MAP
123,[11],"[(70, 10, 20)]","[[100, 0, 0]]",[0.07549337974637527]
128,[11],"[(80, 20, 0)]","[[100, 0, 0]]",[0.07548331260859245]
378,[15],"[(50, 30, 20)]","[[100, 0, 0]]",[0.07547907669113892]
323,[14],"[(70, 30, 0)]","[[100, 0, 0]]",[0.07547736227639756]
259,[13],"[(80, 10, 10)]","[[100, 0, 0]]",[0.07547331116466371]
363,[15],"[(30, 30, 40)]","[[100, 0, 0]]",[0.07546944263173924]
372,[15],"[(40, 40, 20)]","[[100, 0, 0]]",[0.07546570236884896]
120,[11],"[(60, 30, 10)]","[[100, 0, 0]]",[0.07546218254224338]
127,[11],"[(80, 10, 10)]","[[100, 0, 0]]",[0.07546052608284284]
255,[13],"[(70, 10, 20)]","[[100, 0, 0]]",[0.07545977349850222]
125,[11],"[(70, 30, 0)]","[[100, 0, 0]]",[0.07545027876017926]
314,[14],"[(50, 50, 0)]","[[100, 0, 0]]",[0.07544473453291628]
325,[14],"[(80, 10, 10)]","[[100, 0, 0]]",[0.07544054986223651]
380,[15],"[(50, 50, 0)]","[[100, 0, 0]]",[0.07543985926951176]
124,[11],"[(70, 20, 10)]","[[100, 0, 0]]",[0.07543800586773047]
250,[13],"[(60, 10, 30)]","[[100, 0, 0]]",[0.07543718708848075]
239,[13],"[(40, 30, 30)]","[[100, 0, 0]]",[0.0754369113134747]
306,[14],"[(40, 40, 20)]","[[100, 0, 0]]",[0.07543274465293207]
394,[15],"[(90, 10, 0)]","[[100, 0, 0]]",[0.07542757524251147]
308,[14],"[(40, 60, 0)]","[[100, 0, 0]]",[0.07542664149901694]
246,[13],"[(50, 30, 20)]","[[100, 0, 0]]",[0.0754224606697574]
321,[14],"[(70, 10, 20)]","[[100, 0, 0]]",[0.07541716145830185]
196,[12],"[(90, 10, 0)]","[[100, 0, 0]]",[0.0754133005247089]
312,[14],"[(50, 30, 20)]","[[100, 0, 0]]",[0.07540497034913442]
374,[15],"[(40, 60, 0)]","[[100, 0, 0]]",[0.07540190275234078]
118,[11],"[(60, 10, 30)]","[[100, 0, 0]]",[0.07539761937386129]
262,[13],"[(90, 10, 0)]","[[100, 0, 0]]",[0.07539508634688842]
248,[13],"[(50, 50, 0)]","[[100, 0, 0]]",[0.07539467904499199]
240,[13],"[(40, 40, 20)]","[[100, 0, 0]]",[0.0753819193221123]
163,[12],"[(30, 10, 60)]","[[100, 0, 0]]",[0.07538156028849693]
177,[12],"[(50, 0, 50)]","[[100, 0, 0]]",[0.07537068854018134]
230,[13],"[(30, 20, 50)]","[[100, 0, 0]]",[0.07536719785826437]
328,[14],"[(90, 10, 0)]","[[100, 0, 0]]",[0.07536469837412817]
365,[15],"[(30, 50, 20)]","[[100, 0, 0]]",[0.07535794975025858]
297,[14],"[(30, 30, 40)]","[[100, 0, 0]]",[0.07534657664092202]
299,[14],"[(30, 50, 20)]","[[100, 0, 0]]",[0.0753393272127593]
61,[10],"[(80, 10, 10)]","[[100, 0, 0]]",[0.07533788924109694]
46,[10],"[(50, 10, 40)]","[[100, 0, 0]]",[0.07533487230651285]
114,[11],"[(50, 30, 20)]","[[100, 0, 0]]",[0.0753333968392481]
353,[15],"[(20, 20, 60)]","[[100, 0, 0]]",[0.07533218890742106]
354,[15],"[(20, 30, 50)]","[[100, 0, 0]]",[0.07531120186438703]
130,[11],"[(90, 10, 0)]","[[100, 0, 0]]",[0.07531066211699967]
307,[14],"[(40, 50, 10)]","[[100, 0, 0]]",[0.07530956185628626]
375,[15],"[(50, 0, 50)]","[[100, 0, 0]]",[0.0753088837620958]
381,[15],"[(60, 0, 40)]","[[100, 0, 0]]",[0.07530288157072704]
107,[11],"[(40, 30, 30)]","[[100, 0, 0]]",[0.07530044293691503]
295,[14],"[(30, 10, 60)]","[[100, 0, 0]]",[0.07529709881353316]
364,[15],"[(30, 40, 30)]","[[100, 0, 0]]",[0.07528785777596758]
116,[11],"[(50, 50, 0)]","[[100, 0, 0]]",[0.07528350533543199]
57,[10],"[(70, 10, 20)]","[[100, 0, 0]]",[0.07527987661291208]
355,[15],"[(20, 40, 40)]","[[100, 0, 0]]",[0.07527836058804316]
183,[12],"[(60, 0, 40)]","[[100, 0, 0]]",[0.0752764201140685]
373,[15],"[(40, 50, 10)]","[[100, 0, 0]]",[0.07527448634866096]
298,[14],"[(30, 40, 30)]","[[100, 0, 0]]",[0.07527240190493455]
111,[11],"[(50, 0, 50)]","[[100, 0, 0]]",[0.0752682659200815]
108,[11],"[(40, 40, 20)]","[[100, 0, 0]]",[0.07525228575085142]
64,[10],"[(90, 10, 0)]","[[100, 0, 0]]",[0.07524279307242038]
289,[14],"[(20, 40, 40)]","[[100, 0, 0]]",[0.07523780521086311]
188,[12],"[(70, 0, 30)]","[[100, 0, 0]]",[0.07522961293670977]
352,[15],"[(20, 10, 70)]","[[100, 0, 0]]",[0.075228382986307]
229,[13],"[(30, 10, 60)]","[[100, 0, 0]]",[0.07521931539721848]
117,[11],"[(60, 0, 40)]","[[100, 0, 0]]",[0.0752178234229811]
390,[15],"[(80, 0, 20)]","[[100, 0, 0]]",[0.07521760518577023]
39,[10],"[(40, 10, 50)]","[[100, 0, 0]]",[0.07521743919744285]
386,[15],"[(70, 0, 30)]","[[100, 0, 0]]",[0.07521335237163483]
62,[10],"[(80, 20, 0)]","[[100, 0, 0]]",[0.07520507352634316]
126,[11],"[(80, 0, 20)]","[[100, 0, 0]]",[0.07520030242666843]
122,[11],"[(70, 0, 30)]","[[100, 0, 0]]",[0.07520003400046653]
175,[12],"[(40, 50, 10)]","[[100, 0, 0]]",[0.0751960858554983]
288,[14],"[(20, 30, 50)]","[[100, 0, 0]]",[0.07519529569204636]
368,[15],"[(40, 0, 60)]","[[100, 0, 0]]",[0.07519463532962913]
300,[14],"[(30, 60, 10)]","[[100, 0, 0]]",[0.07519428222516258]
165,[12],"[(30, 30, 40)]","[[100, 0, 0]]",[0.07519051473829352]
60,[10],"[(80, 0, 20)]","[[100, 0, 0]]",[0.0751888391274643]
176,[12],"[(40, 60, 0)]","[[100, 0, 0]]",[0.07518810833900852]
98,[11],"[(30, 20, 50)]","[[100, 0, 0]]",[0.07518440637897553]
360,[15],"[(30, 0, 70)]","[[100, 0, 0]]",[0.07518322842692869]
192,[12],"[(80, 0, 20)]","[[100, 0, 0]]",[0.07518190035329023]
51,[10],"[(60, 0, 40)]","[[100, 0, 0]]",[0.07518027571087091]
242,[13],"[(40, 60, 0)]","[[100, 0, 0]]",[0.07517694984815357]
287,[14],"[(20, 20, 60)]","[[100, 0, 0]]",[0.0751662393838173]
