,topK,weights,MAP
407,[1200],"[array([0.1, 0. , 0.9])]",[0.05714809110584035]
143,[1000],"[array([0.1, 0. , 0.9])]",[0.05714809110584035]
77,[950],"[array([0.1, 0. , 0.9])]",[0.05714809110584035]
136,[1000],"[array([0. , 0.4, 0.6])]",[0.056431136745743654]
4,[900],"[array([0. , 0.4, 0.6])]",[0.056431136745743654]
202,[1050],"[array([0. , 0.4, 0.6])]",[0.056431136745743654]
400,[1200],"[array([0. , 0.4, 0.6])]",[0.056431136745743654]
334,[1150],"[array([0. , 0.4, 0.6])]",[0.056431136745743654]
70,[950],"[array([0. , 0.4, 0.6])]",[0.056431136745743654]
268,[1100],"[array([0. , 0.4, 0.6])]",[0.056431136745743654]
150,[1000],"[array([0.1, 0.7, 0.2])]",[0.05518318266392183]
84,[950],"[array([0.1, 0.7, 0.2])]",[0.05518109577059398]
282,[1100],"[array([0.1, 0.7, 0.2])]",[0.055161243728074065]
348,[1150],"[array([0.1, 0.7, 0.2])]",[0.05515954615434185]
414,[1200],"[array([0.1, 0.7, 0.2])]",[0.05515603877059759]
216,[1050],"[array([0.1, 0.7, 0.2])]",[0.05515264362313316]
18,[900],"[array([0.1, 0.7, 0.2])]",[0.05514801061973442]
132,[1000],"[array([0., 0., 1.])]",[0.051562307191321384]
66,[950],"[array([0., 0., 1.])]",[0.051562307191321384]
0,[900],"[array([0., 0., 1.])]",[0.051562307191321384]
330,[1150],"[array([0., 0., 1.])]",[0.051562307191321384]
396,[1200],"[array([0., 0., 1.])]",[0.051562307191321384]
264,[1100],"[array([0., 0., 1.])]",[0.051562307191321384]
198,[1050],"[array([0., 0., 1.])]",[0.051562307191321384]
137,[1000],"[array([0. , 0.5, 0.5])]",[0.050989607293496345]
71,[950],"[array([0. , 0.5, 0.5])]",[0.050989607293496345]
269,[1100],"[array([0. , 0.5, 0.5])]",[0.050989607293496345]
335,[1150],"[array([0. , 0.5, 0.5])]",[0.050989607293496345]
401,[1200],"[array([0. , 0.5, 0.5])]",[0.050989607293496345]
5,[900],"[array([0. , 0.5, 0.5])]",[0.050989607293496345]
203,[1050],"[array([0. , 0.5, 0.5])]",[0.050989607293496345]
217,[1050],"[array([0.1, 0.8, 0.1])]",[0.050353177704147115]
151,[1000],"[array([0.1, 0.8, 0.1])]",[0.05034371945931676]
85,[950],"[array([0.1, 0.8, 0.1])]",[0.050340648995376075]
283,[1100],"[array([0.1, 0.8, 0.1])]",[0.050334686777047395]
19,[900],"[array([0.1, 0.8, 0.1])]",[0.050331417895397745]
415,[1200],"[array([0.1, 0.8, 0.1])]",[0.05033086372876615]
349,[1150],"[array([0.1, 0.8, 0.1])]",[0.05033086372876615]
218,[1050],"[array([0.1, 0.9, 0. ])]",[0.04666982993709463]
152,[1000],"[array([0.1, 0.9, 0. ])]",[0.0466546195829237]
86,[950],"[array([0.1, 0.9, 0. ])]",[0.04664215083371287]
20,[900],"[array([0.1, 0.9, 0. ])]",[0.046629491460979174]
350,[1150],"[array([0.1, 0.9, 0. ])]",[0.046568651269096095]
416,[1200],"[array([0.1, 0.9, 0. ])]",[0.046568651269096095]
284,[1100],"[array([0.1, 0.9, 0. ])]",[0.04656683912082822]
72,[950],"[array([0. , 0.6, 0.4])]",[0.04645454435677979]
270,[1100],"[array([0. , 0.6, 0.4])]",[0.04645454435677979]
336,[1150],"[array([0. , 0.6, 0.4])]",[0.04645454435677979]
6,[900],"[array([0. , 0.6, 0.4])]",[0.04645454435677979]
402,[1200],"[array([0. , 0.6, 0.4])]",[0.04645454435677979]
138,[1000],"[array([0. , 0.6, 0.4])]",[0.04645454435677979]
204,[1050],"[array([0. , 0.6, 0.4])]",[0.04645454435677979]
403,[1200],"[array([0. , 0.7, 0.3])]",[0.04240747538384465]
73,[950],"[array([0. , 0.7, 0.3])]",[0.04240747538384465]
7,[900],"[array([0. , 0.7, 0.3])]",[0.04240747538384465]
337,[1150],"[array([0. , 0.7, 0.3])]",[0.04240747538384465]
205,[1050],"[array([0. , 0.7, 0.3])]",[0.04240747538384465]
139,[1000],"[array([0. , 0.7, 0.3])]",[0.04240747538384465]
271,[1100],"[array([0. , 0.7, 0.3])]",[0.04240747538384465]
338,[1150],"[array([0. , 0.8, 0.2])]",[0.039617594738220636]
206,[1050],"[array([0. , 0.8, 0.2])]",[0.039617594738220636]
404,[1200],"[array([0. , 0.8, 0.2])]",[0.039617594738220636]
74,[950],"[array([0. , 0.8, 0.2])]",[0.039617594738220636]
8,[900],"[array([0. , 0.8, 0.2])]",[0.039617594738220636]
140,[1000],"[array([0. , 0.8, 0.2])]",[0.039617594738220636]
272,[1100],"[array([0. , 0.8, 0.2])]",[0.039617594738220636]
405,[1200],"[array([0. , 0.9, 0.1])]",[0.0375039951049393]
9,[900],"[array([0. , 0.9, 0.1])]",[0.0375039951049393]
207,[1050],"[array([0. , 0.9, 0.1])]",[0.0375039951049393]
141,[1000],"[array([0. , 0.9, 0.1])]",[0.0375039951049393]
75,[950],"[array([0. , 0.9, 0.1])]",[0.0375039951049393]
273,[1100],"[array([0. , 0.9, 0.1])]",[0.0375039951049393]
339,[1150],"[array([0. , 0.9, 0.1])]",[0.0375039951049393]
142,[1000],"[array([0., 1., 0.])]",[0.03628317859758358]
406,[1200],"[array([0., 1., 0.])]",[0.03628317859758358]
10,[900],"[array([0., 1., 0.])]",[0.03628317859758358]
208,[1050],"[array([0., 1., 0.])]",[0.03628317859758358]
76,[950],"[array([0., 1., 0.])]",[0.03628317859758358]
274,[1100],"[array([0., 1., 0.])]",[0.03628317859758358]
340,[1150],"[array([0., 1., 0.])]",[0.03628317859758358]
