,topK,weights,MAP
121,[950],"[array([0.6, 0.4, 0. ])]",[0.07241226154300026]
55,[900],"[array([0.6, 0.4, 0. ])]",[0.07239510475786956]
305,[1100],"[array([0.4, 0.3, 0.3])]",[0.07232322927894456]
41,[900],"[array([0.4, 0.3, 0.3])]",[0.07231303328656363]
239,[1050],"[array([0.4, 0.3, 0.3])]",[0.07230912258152516]
371,[1150],"[array([0.4, 0.3, 0.3])]",[0.07226701215287298]
437,[1200],"[array([0.4, 0.3, 0.3])]",[0.072266696488336]
173,[1000],"[array([0.4, 0.3, 0.3])]",[0.07225611972212782]
107,[950],"[array([0.4, 0.3, 0.3])]",[0.07225301151205729]
432,[1200],"[array([0.3, 0.6, 0.1])]",[0.07192743727985039]
366,[1150],"[array([0.3, 0.6, 0.1])]",[0.07192575373565316]
300,[1100],"[array([0.3, 0.6, 0.1])]",[0.07188709401587774]
234,[1050],"[array([0.3, 0.6, 0.1])]",[0.07184729105601997]
168,[1000],"[array([0.3, 0.6, 0.1])]",[0.0717774263100902]
102,[950],"[array([0.3, 0.6, 0.1])]",[0.071719397787333]
36,[900],"[array([0.3, 0.6, 0.1])]",[0.07171310492849543]
422,[1200],"[array([0.2, 0.5, 0.3])]",[0.07165855055284598]
356,[1150],"[array([0.2, 0.5, 0.3])]",[0.07164664348608905]
290,[1100],"[array([0.2, 0.5, 0.3])]",[0.07162517662739143]
80,[950],"[array([0.1, 0.3, 0.6])]",[0.07161018030713799]
212,[1050],"[array([0.1, 0.3, 0.6])]",[0.07160331460345856]
146,[1000],"[array([0.1, 0.3, 0.6])]",[0.07159267027835874]
224,[1050],"[array([0.2, 0.5, 0.3])]",[0.0715853576337794]
158,[1000],"[array([0.2, 0.5, 0.3])]",[0.07156655393712613]
410,[1200],"[array([0.1, 0.3, 0.6])]",[0.07154475084280741]
344,[1150],"[array([0.1, 0.3, 0.6])]",[0.07154264641256086]
278,[1100],"[array([0.1, 0.3, 0.6])]",[0.07153126077685391]
14,[900],"[array([0.1, 0.3, 0.6])]",[0.07152919116991745]
312,[1100],"[array([0.5, 0.3, 0.2])]",[0.07152772004512771]
246,[1050],"[array([0.5, 0.3, 0.2])]",[0.07152261886167187]
378,[1150],"[array([0.5, 0.3, 0.2])]",[0.0715222984092777]
444,[1200],"[array([0.5, 0.3, 0.2])]",[0.07152046755496319]
92,[950],"[array([0.2, 0.5, 0.3])]",[0.07150008172204114]
26,[900],"[array([0.2, 0.5, 0.3])]",[0.07146616498719764]
180,[1000],"[array([0.5, 0.3, 0.2])]",[0.07146239669307368]
114,[950],"[array([0.5, 0.3, 0.2])]",[0.07144791768408623]
48,[900],"[array([0.5, 0.3, 0.2])]",[0.07143732321394097]
79,[950],"[array([0.1, 0.2, 0.7])]",[0.07121255124621678]
13,[900],"[array([0.1, 0.2, 0.7])]",[0.0711948978044133]
384,[1150],"[array([0.6, 0.3, 0.1])]",[0.07113554410300109]
145,[1000],"[array([0.1, 0.2, 0.7])]",[0.07112931838550952]
450,[1200],"[array([0.6, 0.3, 0.1])]",[0.07112493777455844]
318,[1100],"[array([0.6, 0.3, 0.1])]",[0.07112361031332039]
252,[1050],"[array([0.6, 0.3, 0.1])]",[0.07111385661316413]
120,[950],"[array([0.6, 0.3, 0.1])]",[0.07110884940532355]
54,[900],"[array([0.6, 0.3, 0.1])]",[0.07110882571656504]
186,[1000],"[array([0.6, 0.3, 0.1])]",[0.0710850201844923]
23,[900],"[array([0.2, 0.2, 0.6])]",[0.07108442042187198]
277,[1100],"[array([0.1, 0.2, 0.7])]",[0.07107915870601897]
409,[1200],"[array([0.1, 0.2, 0.7])]",[0.07105814546895231]
343,[1150],"[array([0.1, 0.2, 0.7])]",[0.07105486255776768]
211,[1050],"[array([0.1, 0.2, 0.7])]",[0.07105188128158504]
89,[950],"[array([0.2, 0.2, 0.6])]",[0.0710416249120982]
287,[1100],"[array([0.2, 0.2, 0.6])]",[0.07101633625775636]
221,[1050],"[array([0.2, 0.2, 0.6])]",[0.07101090156664468]
155,[1000],"[array([0.2, 0.2, 0.6])]",[0.07100335167260778]
353,[1150],"[array([0.2, 0.2, 0.6])]",[0.07090518952164754]
419,[1200],"[array([0.2, 0.2, 0.6])]",[0.07088408509260351]
164,[1000],"[array([0.3, 0.2, 0.5])]",[0.07084530292059715]
98,[950],"[array([0.3, 0.2, 0.5])]",[0.07074381334808243]
296,[1100],"[array([0.3, 0.2, 0.5])]",[0.0707395583905459]
428,[1200],"[array([0.3, 0.2, 0.5])]",[0.07072392072012211]
362,[1150],"[array([0.3, 0.2, 0.5])]",[0.07071927343666097]
230,[1050],"[array([0.3, 0.2, 0.5])]",[0.07068371449464289]
32,[900],"[array([0.3, 0.2, 0.5])]",[0.07067962104377674]
59,[900],"[array([0.7, 0.3, 0. ])]",[0.07042755751073822]
125,[950],"[array([0.7, 0.3, 0. ])]",[0.07038108598443658]
191,[1000],"[array([0.7, 0.3, 0. ])]",[0.07037492412359829]
455,[1200],"[array([0.7, 0.3, 0. ])]",[0.07035361643331536]
389,[1150],"[array([0.7, 0.3, 0. ])]",[0.07035361643331536]
323,[1100],"[array([0.7, 0.3, 0. ])]",[0.07035047654544566]
40,[900],"[array([0.4, 0.2, 0.4])]",[0.07033556660147595]
436,[1200],"[array([0.4, 0.2, 0.4])]",[0.07032833894136145]
257,[1050],"[array([0.7, 0.3, 0. ])]",[0.07031487877167895]
