,threshold,weights1,weights2,MAP
245,[13],"[[100, 0, 0]]","[(50, 20, 30)]",[0.07434122495232508]
185,[12],"[[100, 0, 0]]","[(60, 20, 20)]",[0.07433806329640703]
114,[11],"[[100, 0, 0]]","[(50, 30, 20)]",[0.07432035685413814]
113,[11],"[[100, 0, 0]]","[(50, 20, 30)]",[0.0743191023798856]
321,[14],"[[100, 0, 0]]","[(70, 10, 20)]",[0.07431650649836917]
184,[12],"[[100, 0, 0]]","[(60, 10, 30)]",[0.07430443274737526]
382,[15],"[[100, 0, 0]]","[(60, 10, 30)]",[0.07428585722552003]
255,[13],"[[100, 0, 0]]","[(70, 10, 20)]",[0.0742738944581688]
49,[10],"[[100, 0, 0]]","[(50, 40, 10)]",[0.07425176194814198]
311,[14],"[[100, 0, 0]]","[(50, 20, 30)]",[0.0742490218463464]
312,[14],"[[100, 0, 0]]","[(50, 30, 20)]",[0.0742487833442518]
123,[11],"[[100, 0, 0]]","[(70, 10, 20)]",[0.07424028821029578]
246,[13],"[[100, 0, 0]]","[(50, 30, 20)]",[0.07423129302362882]
254,[13],"[[100, 0, 0]]","[(70, 0, 30)]",[0.07418969035836448]
387,[15],"[[100, 0, 0]]","[(70, 10, 20)]",[0.07418508716772763]
378,[15],"[[100, 0, 0]]","[(50, 30, 20)]",[0.0741746770022473]
179,[12],"[[100, 0, 0]]","[(50, 20, 30)]",[0.07416636517084647]
377,[15],"[[100, 0, 0]]","[(50, 20, 30)]",[0.07413313905656402]
180,[12],"[[100, 0, 0]]","[(50, 30, 20)]",[0.07413221845184029]
189,[12],"[[100, 0, 0]]","[(70, 10, 20)]",[0.07411609342209434]
320,[14],"[[100, 0, 0]]","[(70, 0, 30)]",[0.0740958234163448]
56,[10],"[[100, 0, 0]]","[(70, 0, 30)]",[0.07406556722100237]
40,[10],"[[100, 0, 0]]","[(40, 20, 40)]",[0.07403947921720344]
122,[11],"[[100, 0, 0]]","[(70, 0, 30)]",[0.07401341827036481]
385,[15],"[[100, 0, 0]]","[(60, 40, 0)]",[0.0740030495810891]
386,[15],"[[100, 0, 0]]","[(70, 0, 30)]",[0.07400009989919652]
121,[11],"[[100, 0, 0]]","[(60, 40, 0)]",[0.0739996839401863]
319,[14],"[[100, 0, 0]]","[(60, 40, 0)]",[0.07399041130833062]
188,[12],"[[100, 0, 0]]","[(70, 0, 30)]",[0.07398383933412157]
253,[13],"[[100, 0, 0]]","[(60, 40, 0)]",[0.07395170326460139]
249,[13],"[[100, 0, 0]]","[(60, 0, 40)]",[0.07392070149968592]
315,[14],"[[100, 0, 0]]","[(60, 0, 40)]",[0.0738494755548268]
187,[12],"[[100, 0, 0]]","[(60, 40, 0)]",[0.07384068020552406]
51,[10],"[[100, 0, 0]]","[(60, 0, 40)]",[0.07379927495585915]
