,threshold,weights1,weights2,MAP
284,[14],"[[100, 0, 0]]","[(10, 90, 0)]",[0.06310483243212495]
349,[15],"[[100, 0, 0]]","[(10, 80, 10)]",[0.0630994612914663]
76,[11],"[[100, 0, 0]]","[(0, 100, 0)]",[0.0630832839014916]
283,[14],"[[100, 0, 0]]","[(10, 80, 10)]",[0.06300569489444731]
73,[11],"[[100, 0, 0]]","[(0, 70, 30)]",[0.06284562541618165]
69,[11],"[[100, 0, 0]]","[(0, 30, 70)]",[0.06273677326062382]
137,[12],"[[100, 0, 0]]","[(0, 50, 50)]",[0.06271776958742423]
75,[11],"[[100, 0, 0]]","[(0, 90, 10)]",[0.06267743884982216]
138,[12],"[[100, 0, 0]]","[(0, 60, 40)]",[0.06263704715055016]
136,[12],"[[100, 0, 0]]","[(0, 40, 60)]",[0.06258357658431411]
74,[11],"[[100, 0, 0]]","[(0, 80, 20)]",[0.06256154370068753]
142,[12],"[[100, 0, 0]]","[(0, 100, 0)]",[0.06234992503440461]
203,[13],"[[100, 0, 0]]","[(0, 50, 50)]",[0.06228242643635594]
135,[12],"[[100, 0, 0]]","[(0, 30, 70)]",[0.06223979034552429]
204,[13],"[[100, 0, 0]]","[(0, 60, 40)]",[0.06221887848854957]
1,[10],"[[100, 0, 0]]","[(0, 10, 90)]",[0.06220987653764254]
202,[13],"[[100, 0, 0]]","[(0, 40, 60)]",[0.06217049655156252]
139,[12],"[[100, 0, 0]]","[(0, 70, 30)]",[0.06216297162675751]
141,[12],"[[100, 0, 0]]","[(0, 90, 10)]",[0.06197744104778265]
68,[11],"[[100, 0, 0]]","[(0, 20, 80)]",[0.061964618052813586]
269,[14],"[[100, 0, 0]]","[(0, 50, 50)]",[0.061903310822165]
140,[12],"[[100, 0, 0]]","[(0, 80, 20)]",[0.06188989958883662]
335,[15],"[[100, 0, 0]]","[(0, 50, 50)]",[0.06188130549655352]
201,[13],"[[100, 0, 0]]","[(0, 30, 70)]",[0.06186080208276689]
208,[13],"[[100, 0, 0]]","[(0, 100, 0)]",[0.06182381079203488]
268,[14],"[[100, 0, 0]]","[(0, 40, 60)]",[0.061800538660655074]
270,[14],"[[100, 0, 0]]","[(0, 60, 40)]",[0.06180037924171294]
336,[15],"[[100, 0, 0]]","[(0, 60, 40)]",[0.06174653622472691]
205,[13],"[[100, 0, 0]]","[(0, 70, 30)]",[0.06170414069588183]
334,[15],"[[100, 0, 0]]","[(0, 40, 60)]",[0.061657186041387646]
207,[13],"[[100, 0, 0]]","[(0, 90, 10)]",[0.06150370373599384]
267,[14],"[[100, 0, 0]]","[(0, 30, 70)]",[0.06148602014739212]
274,[14],"[[100, 0, 0]]","[(0, 100, 0)]",[0.06145764020749811]
206,[13],"[[100, 0, 0]]","[(0, 80, 20)]",[0.06144292361501651]
134,[12],"[[100, 0, 0]]","[(0, 20, 80)]",[0.06144036940455926]
340,[15],"[[100, 0, 0]]","[(0, 100, 0)]",[0.061415219570239224]
333,[15],"[[100, 0, 0]]","[(0, 30, 70)]",[0.06126643454244326]
271,[14],"[[100, 0, 0]]","[(0, 70, 30)]",[0.06124724762236124]
337,[15],"[[100, 0, 0]]","[(0, 70, 30)]",[0.06118870237290206]
273,[14],"[[100, 0, 0]]","[(0, 90, 10)]",[0.061124625979278195]
339,[15],"[[100, 0, 0]]","[(0, 90, 10)]",[0.061103190018961195]
200,[13],"[[100, 0, 0]]","[(0, 20, 80)]",[0.06108950159097143]
272,[14],"[[100, 0, 0]]","[(0, 80, 20)]",[0.06108609269233587]
338,[15],"[[100, 0, 0]]","[(0, 80, 20)]",[0.06107170423508899]
67,[11],"[[100, 0, 0]]","[(0, 10, 90)]",[0.06090991736358932]
266,[14],"[[100, 0, 0]]","[(0, 20, 80)]",[0.0607398492250329]
332,[15],"[[100, 0, 0]]","[(0, 20, 80)]",[0.06038788560455243]
133,[12],"[[100, 0, 0]]","[(0, 10, 90)]",[0.06030553251260103]
199,[13],"[[100, 0, 0]]","[(0, 10, 90)]",[0.05999482424288494]
0,[10],"[[100, 0, 0]]","[(0, 0, 100)]",[0.05990579632130441]
265,[14],"[[100, 0, 0]]","[(0, 10, 90)]",[0.05959707980017307]
331,[15],"[[100, 0, 0]]","[(0, 10, 90)]",[0.05910958385704691]
66,[11],"[[100, 0, 0]]","[(0, 0, 100)]",[0.05861192830368705]
132,[12],"[[100, 0, 0]]","[(0, 0, 100)]",[0.05785915606757555]
198,[13],"[[100, 0, 0]]","[(0, 0, 100)]",[0.057640113272015674]
264,[14],"[[100, 0, 0]]","[(0, 0, 100)]",[0.05707392783844093]
330,[15],"[[100, 0, 0]]","[(0, 0, 100)]",[0.05648803224436963]
