,topK,weights,MAP
45,[700],"[array([0.5, 0. , 0.5])]",[0.06225594351784925]
60,[700],"[array([0.8, 0. , 0.2])]",[0.062238468757762025]
65,[700],"[array([1., 0., 0.])]",[0.06220845782875435]
56,[700],"[array([0.7, 0. , 0.3])]",[0.06216381387207447]
111,[800],"[array([0.5, 0. , 0.5])]",[0.06215499566910476]
131,[800],"[array([1., 0., 0.])]",[0.06203203400465323]
129,[800],"[array([0.9, 0. , 0.1])]",[0.06194045073132395]
63,[700],"[array([0.9, 0. , 0.1])]",[0.061927064996118664]
38,[700],"[array([0.4, 0. , 0.6])]",[0.061731182374022496]
104,[800],"[array([0.4, 0. , 0.6])]",[0.06149391176081654]
3,[700],"[array([0. , 0.3, 0.7])]",[0.06132959272527186]
69,[800],"[array([0. , 0.3, 0.7])]",[0.06097082845472948]
30,[700],"[array([0.3, 0. , 0.7])]",[0.060572664796150956]
96,[800],"[array([0.3, 0. , 0.7])]",[0.060115715019926456]
29,[700],"[array([0.2, 0.8, 0. ])]",[0.05992465293491402]
21,[700],"[array([0.2, 0. , 0.8])]",[0.05990639984183586]
87,[800],"[array([0.2, 0. , 0.8])]",[0.05984903151447751]
95,[800],"[array([0.2, 0.8, 0. ])]",[0.05964311462936208]
17,[700],"[array([0.1, 0.6, 0.3])]",[0.05894398702036404]
83,[800],"[array([0.1, 0.6, 0.3])]",[0.05855314811518974]
11,[700],"[array([0.1, 0. , 0.9])]",[0.05758214253758112]
77,[800],"[array([0.1, 0. , 0.9])]",[0.05737987739567102]
4,[700],"[array([0. , 0.4, 0.6])]",[0.05560612565461697]
70,[800],"[array([0. , 0.4, 0.6])]",[0.05532539602370907]
18,[700],"[array([0.1, 0.7, 0.2])]",[0.05347849473266672]
84,[800],"[array([0.1, 0.7, 0.2])]",[0.05288923603080316]
0,[700],"[array([0., 0., 1.])]",[0.05112844092717319]
132,[900],"[array([0., 0., 1.])]",[0.051072956092721895]
66,[800],"[array([0., 0., 1.])]",[0.051060027486531274]
5,[700],"[array([0. , 0.5, 0.5])]",[0.0494521037632868]
71,[800],"[array([0. , 0.5, 0.5])]",[0.049299625627426354]
19,[700],"[array([0.1, 0.8, 0.1])]",[0.04861447316112093]
85,[800],"[array([0.1, 0.8, 0.1])]",[0.04818478833863264]
20,[700],"[array([0.1, 0.9, 0. ])]",[0.04517003395548302]
86,[800],"[array([0.1, 0.9, 0. ])]",[0.04515688032000514]
6,[700],"[array([0. , 0.6, 0.4])]",[0.04420582808149932]
72,[800],"[array([0. , 0.6, 0.4])]",[0.04407606340089371]
7,[700],"[array([0. , 0.7, 0.3])]",[0.04083108549006245]
73,[800],"[array([0. , 0.7, 0.3])]",[0.04075214458143945]
8,[700],"[array([0. , 0.8, 0.2])]",[0.03807472889148449]
74,[800],"[array([0. , 0.8, 0.2])]",[0.038018425138601694]
9,[700],"[array([0. , 0.9, 0.1])]",[0.03624273464942833]
75,[800],"[array([0. , 0.9, 0.1])]",[0.03613739140861557]
10,[700],"[array([0., 1., 0.])]",[0.03491542495261016]
76,[800],"[array([0., 1., 0.])]",[0.034758391504684495]
