,hparams,epochs,score
1,"{'no_components': 39, 'learning_schedule': 'adadelta', 'learning_rate': 0.03541957007901468, 'loss': 'warp', 'item_alpha': 6.121378519525514e-10, 'user_alpha': 8.788161549763524e-11}",35.0,0.8675859570503235
41,"{'no_components': 28, 'learning_schedule': 'adadelta', 'learning_rate': 0.03769012387032403, 'loss': 'warp', 'item_alpha': 9.69131013463344e-09, 'user_alpha': 1.2437257651194347e-08}",39.0,0.8674898743629456
9,"{'no_components': 33, 'learning_schedule': 'adadelta', 'learning_rate': 0.021521036925611296, 'loss': 'warp', 'item_alpha': 2.4283890743209047e-08, 'user_alpha': 6.838820680871805e-09}",35.0,0.8670715689659119
13,"{'no_components': 28, 'learning_schedule': 'adadelta', 'learning_rate': 0.01040048510250777, 'loss': 'warp', 'item_alpha': 4.889931511669399e-09, 'user_alpha': 2.4681398435169598e-08}",47.0,0.8666217923164368
30,"{'no_components': 57, 'learning_schedule': 'adagrad', 'learning_rate': 0.02541641600928099, 'loss': 'warp', 'item_alpha': 1.2643740418863955e-08, 'user_alpha': 2.2643294114223078e-10}",93.0,0.8665996789932251
81,"{'no_components': 48, 'learning_schedule': 'adadelta', 'learning_rate': 0.08958210626442868, 'loss': 'warp', 'item_alpha': 7.901752217567752e-10, 'user_alpha': 2.68796461735482e-09}",32.0,0.8658883571624756
39,"{'no_components': 43, 'learning_schedule': 'adadelta', 'learning_rate': 0.013407586484359033, 'loss': 'warp', 'item_alpha': 1.1410020976271751e-08, 'user_alpha': 3.6838649065365202e-09}",39.0,0.8653647303581238
32,"{'no_components': 37, 'learning_schedule': 'adadelta', 'learning_rate': 0.047358730055914844, 'loss': 'warp', 'item_alpha': 7.46033448598529e-09, 'user_alpha': 7.68437508259232e-09}",39.0,0.8646671175956726
59,"{'no_components': 53, 'learning_schedule': 'adagrad', 'learning_rate': 0.005214385502014727, 'loss': 'warp', 'item_alpha': 4.0159830852612964e-09, 'user_alpha': 5.529328810838618e-09}",97.0,0.8635476231575012
2,"{'no_components': 19, 'learning_schedule': 'adadelta', 'learning_rate': 0.0022085357149711216, 'loss': 'warp', 'item_alpha': 8.031465506383273e-10, 'user_alpha': 9.283416000123868e-09}",77.0,0.8630484342575073
24,"{'no_components': 30, 'learning_schedule': 'adadelta', 'learning_rate': 0.06517342545571303, 'loss': 'warp', 'item_alpha': 1.144637718813718e-09, 'user_alpha': 1.1663169289356507e-09}",51.0,0.8620730042457581
61,"{'no_components': 22, 'learning_schedule': 'adadelta', 'learning_rate': 0.06033915106397068, 'loss': 'warp', 'item_alpha': 4.35989763570177e-09, 'user_alpha': 3.7380459217788354e-10}",71.0,0.8616041541099548
50,"{'no_components': 44, 'learning_schedule': 'adadelta', 'learning_rate': 0.02481998534532509, 'loss': 'warp', 'item_alpha': 1.2992002230935636e-09, 'user_alpha': 5.551961729557599e-09}",47.0,0.8608716726303101
62,"{'no_components': 24, 'learning_schedule': 'adadelta', 'learning_rate': 0.047703624278797624, 'loss': 'warp', 'item_alpha': 1.88885143051703e-11, 'user_alpha': 2.1867358304236874e-09}",58.0,0.8606345057487488
16,"{'no_components': 45, 'learning_schedule': 'adagrad', 'learning_rate': 0.015693821245375366, 'loss': 'warp', 'item_alpha': 1.1786896757362072e-09, 'user_alpha': 2.2715944832235825e-09}",15.0,0.8600277304649353
18,"{'no_components': 46, 'learning_schedule': 'adadelta', 'learning_rate': 0.01770403440681914, 'loss': 'warp', 'item_alpha': 5.495331687283391e-09, 'user_alpha': 8.981999048765149e-10}",50.0,0.8599193096160889
47,"{'no_components': 24, 'learning_schedule': 'adadelta', 'learning_rate': 0.20024271806550825, 'loss': 'warp', 'item_alpha': 4.273610155342313e-09, 'user_alpha': 6.2045748233644725e-09}",78.0,0.859392523765564
78,"{'no_components': 17, 'learning_schedule': 'adadelta', 'learning_rate': 0.025782271056445663, 'loss': 'warp', 'item_alpha': 4.502393231738058e-08, 'user_alpha': 3.5995508313099255e-09}",94.0,0.8593841791152954
79,"{'no_components': 41, 'learning_schedule': 'adadelta', 'learning_rate': 0.02998781844408084, 'loss': 'warp', 'item_alpha': 2.0408195264439983e-08, 'user_alpha': 3.749900843824469e-09}",53.0,0.8584091663360596
26,"{'no_components': 43, 'learning_schedule': 'adadelta', 'learning_rate': 0.02787084769704324, 'loss': 'warp', 'item_alpha': 1.5914918138832926e-08, 'user_alpha': 1.204300789001513e-08}",55.0,0.8582218289375305
77,"{'no_components': 34, 'learning_schedule': 'adadelta', 'learning_rate': 0.01595803482409079, 'loss': 'warp', 'item_alpha': 2.91829719725755e-09, 'user_alpha': 2.2969364412806224e-08}",70.0,0.8578178286552429
33,"{'no_components': 20, 'learning_schedule': 'adagrad', 'learning_rate': 0.04543406461384283, 'loss': 'warp', 'item_alpha': 4.79901601694579e-09, 'user_alpha': 2.032595120181717e-09}",45.0,0.8577541708946228
73,"{'no_components': 33, 'learning_schedule': 'adadelta', 'learning_rate': 0.015136693654496165, 'loss': 'warp', 'item_alpha': 6.858865387390073e-09, 'user_alpha': 1.824231654195598e-08}",70.0,0.8573488593101501
60,"{'no_components': 48, 'learning_schedule': 'adadelta', 'learning_rate': 0.00030325125006208306, 'loss': 'warp', 'item_alpha': 1.1775065193676603e-08, 'user_alpha': 1.0154243722167247e-08}",60.0,0.8568782806396484
55,"{'no_components': 43, 'learning_schedule': 'adadelta', 'learning_rate': 0.05928765833758818, 'loss': 'warp', 'item_alpha': 4.132765354608582e-09, 'user_alpha': 1.063257735091919e-08}",61.0,0.8567143678665161
43,"{'no_components': 31, 'learning_schedule': 'adadelta', 'learning_rate': 0.06585114505864718, 'loss': 'warp', 'item_alpha': 7.225545230876478e-10, 'user_alpha': 7.525909012513963e-10}",76.0,0.8565592765808105
3,"{'no_components': 37, 'learning_schedule': 'adadelta', 'learning_rate': 0.008595763311820992, 'loss': 'warp', 'item_alpha': 1.284562601701815e-08, 'user_alpha': 5.236981386271711e-09}",71.0,0.856387197971344
93,"{'no_components': 29, 'learning_schedule': 'adadelta', 'learning_rate': 0.037352077207460255, 'loss': 'warp', 'item_alpha': 3.91649435238329e-09, 'user_alpha': 1.165016521626967e-08}",81.0,0.8563704490661621
34,"{'no_components': 47, 'learning_schedule': 'adadelta', 'learning_rate': 0.034742924698804925, 'loss': 'warp', 'item_alpha': 4.259406396715521e-09, 'user_alpha': 2.0281731482406353e-08}",62.0,0.8548091053962708
22,"{'no_components': 45, 'learning_schedule': 'adadelta', 'learning_rate': 0.010016707768909342, 'loss': 'warp', 'item_alpha': 5.149170615866575e-09, 'user_alpha': 5.737844690001502e-09}",66.0,0.8547292351722717
56,"{'no_components': 54, 'learning_schedule': 'adadelta', 'learning_rate': 0.048293986507229096, 'loss': 'warp', 'item_alpha': 1.1163807731407121e-08, 'user_alpha': 1.3584657156106439e-08}",58.0,0.8543999791145325
27,"{'no_components': 31, 'learning_schedule': 'adadelta', 'learning_rate': 0.048575366333973476, 'loss': 'warp', 'item_alpha': 5.878640298098559e-09, 'user_alpha': 5.054382906563843e-09}",79.0,0.8538156747817993
8,"{'no_components': 56, 'learning_schedule': 'adadelta', 'learning_rate': 0.04354319719084234, 'loss': 'warp', 'item_alpha': 1.1575914847064493e-10, 'user_alpha': 7.951037321771724e-10}",66.0,0.8531375527381897
14,"{'no_components': 40, 'learning_schedule': 'adadelta', 'learning_rate': 0.023449867941314966, 'loss': 'warp', 'item_alpha': 7.576436786465843e-09, 'user_alpha': 1.2360696658120747e-08}",79.0,0.852794885635376
67,"{'no_components': 58, 'learning_schedule': 'adadelta', 'learning_rate': 0.011611706135711018, 'loss': 'warp', 'item_alpha': 4.42861733413284e-09, 'user_alpha': 5.108039036216388e-09}",61.0,0.8523263931274414
15,"{'no_components': 50, 'learning_schedule': 'adadelta', 'learning_rate': 0.024215803836221447, 'loss': 'warp', 'item_alpha': 4.324828023791192e-09, 'user_alpha': 2.421016603750797e-08}",77.0,0.8513350486755371
10,"{'no_components': 20, 'learning_schedule': 'adagrad', 'learning_rate': 0.04957210574129314, 'loss': 'warp', 'item_alpha': 4.030884875203204e-09, 'user_alpha': 1.5957262879448473e-09}",64.0,0.8511580228805542
28,"{'no_components': 55, 'learning_schedule': 'adadelta', 'learning_rate': 0.10753561821715696, 'loss': 'warp', 'item_alpha': 5.297727065833019e-09, 'user_alpha': 9.16076784032034e-09}",71.0,0.8509369492530823
49,"{'no_components': 55, 'learning_schedule': 'adadelta', 'learning_rate': 0.009279663303001838, 'loss': 'warp', 'item_alpha': 2.2309701364727087e-09, 'user_alpha': 1.23228841897788e-09}",81.0,0.849673330783844
46,"{'no_components': 56, 'learning_schedule': 'adadelta', 'learning_rate': 0.004940141657139492, 'loss': 'warp', 'item_alpha': 1.7221503788031892e-08, 'user_alpha': 8.897223116492756e-09}",76.0,0.849608838558197
42,"{'no_components': 52, 'learning_schedule': 'adadelta', 'learning_rate': 0.1472388849989453, 'loss': 'warp', 'item_alpha': 7.314737267675647e-09, 'user_alpha': 2.3543119862709175e-09}",84.0,0.8495020270347595
63,"{'no_components': 62, 'learning_schedule': 'adagrad', 'learning_rate': 0.04050566793357347, 'loss': 'warp', 'item_alpha': 8.438781309219581e-09, 'user_alpha': 8.56015687224183e-09}",66.0,0.847678542137146
89,"{'no_components': 18, 'learning_schedule': 'adagrad', 'learning_rate': 0.009923271938692144, 'loss': 'warp', 'item_alpha': 1.0590072447101283e-08, 'user_alpha': 1.7588129264854305e-08}",42.0,0.8461664319038391
96,"{'no_components': 60, 'learning_schedule': 'adadelta', 'learning_rate': 0.014047635886562144, 'loss': 'warp', 'item_alpha': 2.3142955838577338e-08, 'user_alpha': 1.3430572786474792e-08}",98.0,0.8444326519966125
