,topK,weights,MAP
180,[800],"[array([0.5, 0.3, 0.2])]",[0.07471302544449888]
378,[950],"[array([0.5, 0.3, 0.2])]",[0.0747128292537003]
693,[1200],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
561,[1100],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
759,[1250],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
825,[1300],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
627,[1150],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
957,[1400],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
1023,[1450],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
495,[1050],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
891,[1350],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
1089,[1500],"[array([0.3, 0.3, 0.4])]",[0.07470810864921716]
429,[1000],"[array([0.3, 0.3, 0.4])]",[0.0747058488919762]
312,[900],"[array([0.5, 0.3, 0.2])]",[0.07469961844230014]
239,[850],"[array([0.4, 0.3, 0.3])]",[0.07469576819787682]
231,[850],"[array([0.3, 0.3, 0.4])]",[0.07468916056526632]
306,[900],"[array([0.4, 0.4, 0.2])]",[0.07467495588379318]
363,[950],"[array([0.3, 0.3, 0.4])]",[0.0746674155654706]
114,[750],"[array([0.5, 0.3, 0.2])]",[0.07466440439301693]
99,[750],"[array([0.3, 0.3, 0.4])]",[0.07465508343720745]
165,[800],"[array([0.3, 0.3, 0.4])]",[0.0746403577422299]
32,[700],"[array([0.3, 0.2, 0.5])]",[0.07460300688899153]
246,[850],"[array([0.5, 0.3, 0.2])]",[0.07459641868617352]
240,[850],"[array([0.4, 0.4, 0.2])]",[0.07453328714275956]
98,[750],"[array([0.3, 0.2, 0.5])]",[0.07453220775933045]
174,[800],"[array([0.4, 0.4, 0.2])]",[0.0745313149074765]
33,[700],"[array([0.3, 0.3, 0.4])]",[0.07448283724118222]
164,[800],"[array([0.3, 0.2, 0.5])]",[0.07443462051310415]
108,[750],"[array([0.4, 0.4, 0.2])]",[0.07441374960344285]
42,[700],"[array([0.4, 0.4, 0.2])]",[0.07438281662221977]
230,[850],"[array([0.3, 0.2, 0.5])]",[0.07428587284172859]
428,[1000],"[array([0.3, 0.2, 0.5])]",[0.0742703724324893]
362,[950],"[array([0.3, 0.2, 0.5])]",[0.07426616365550533]
626,[1150],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
1022,[1450],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
560,[1100],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
758,[1250],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
890,[1350],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
494,[1050],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
824,[1300],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
692,[1200],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
956,[1400],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
1088,[1500],"[array([0.3, 0.2, 0.5])]",[0.0742619622273254]
318,[900],"[array([0.6, 0.3, 0.1])]",[0.07423115871310054]
776,[1250],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
842,[1300],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
512,[1050],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
908,[1350],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
1040,[1450],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
644,[1150],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
710,[1200],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
446,[1000],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
1106,[1500],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
578,[1100],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
974,[1400],"[array([0.5, 0.5, 0. ])]",[0.07423081446060244]
252,[850],"[array([0.6, 0.3, 0.1])]",[0.07422296304290897]
296,[900],"[array([0.3, 0.2, 0.5])]",[0.07421103443079481]
384,[950],"[array([0.6, 0.3, 0.1])]",[0.0741894602628564]
186,[800],"[array([0.6, 0.3, 0.1])]",[0.07418386292378261]
380,[950],"[array([0.5, 0.5, 0. ])]",[0.07416767913144078]
120,[750],"[array([0.6, 0.3, 0.1])]",[0.0741662174431835]
648,[1150],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
978,[1400],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
780,[1250],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
582,[1100],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
516,[1050],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
450,[1000],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
714,[1200],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
846,[1300],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
912,[1350],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
1110,[1500],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
1044,[1450],"[array([0.6, 0.3, 0.1])]",[0.07415914343988067]
54,[700],"[array([0.6, 0.3, 0.1])]",[0.07414408251139179]
314,[900],"[array([0.5, 0.5, 0. ])]",[0.0741234472923509]
116,[750],"[array([0.5, 0.5, 0. ])]",[0.07410902796455984]
59,[700],"[array([0.7, 0.3, 0. ])]",[0.07407152289778211]
50,[700],"[array([0.5, 0.5, 0. ])]",[0.0740305708522025]
182,[800],"[array([0.5, 0.5, 0. ])]",[0.07401994723736854]
323,[900],"[array([0.7, 0.3, 0. ])]",[0.07399237199151645]
257,[850],"[array([0.7, 0.3, 0. ])]",[0.07398410762114165]
191,[800],"[array([0.7, 0.3, 0. ])]",[0.07397696797965725]
248,[850],"[array([0.5, 0.5, 0. ])]",[0.07396817391082812]
125,[750],"[array([0.7, 0.3, 0. ])]",[0.07395738322204783]
389,[950],"[array([0.7, 0.3, 0. ])]",[0.0739352686108127]
1049,[1450],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
1115,[1500],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
521,[1050],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
851,[1300],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
455,[1000],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
